"product_id";"total_orders";"reordered_orders";"reorder_rate";"price_sensitivity"
42701;58;32.0;0.552;"Medium Sensitivity"
21938;89;51.0;0.573;"Medium Sensitivity"
5373;20;8.0;0.4;"Medium Sensitivity"
28849;45;23.0;0.511;"Medium Sensitivity"
41588;18;9.0;0.5;"Medium Sensitivity"
3382;3;2.0;0.667;"Low Sensitivity"
19478;11;6.0;0.545;"Medium Sensitivity"
49383;25;11.0;0.44;"Medium Sensitivity"
40604;39;23.0;0.59;"Medium Sensitivity"
8654;2;1.0;0.5;"Medium Sensitivity"
2447;6;2.0;0.333;"Medium Sensitivity"
24489;68;45.0;0.662;"Low Sensitivity"
26128;22;18.0;0.818;"Low Sensitivity"
15527;2;0.0;0.0;"High Sensitivity"
41950;106;70.0;0.66;"Low Sensitivity"
20638;1;0.0;0.0;"High Sensitivity"
27451;6;4.0;0.667;"Low Sensitivity"
10243;2;0.0;0.0;"High Sensitivity"
35108;33;17.0;0.515;"Medium Sensitivity"
22825;87;65.0;0.747;"Low Sensitivity"
25256;9;4.0;0.444;"Medium Sensitivity"
47626;253;163.0;0.644;"Low Sensitivity"
37220;13;8.0;0.615;"Low Sensitivity"
12980;16;6.0;0.375;"Medium Sensitivity"
27548;17;11.0;0.647;"Low Sensitivity"
45504;24;21.0;0.875;"Low Sensitivity"
18531;36;21.0;0.583;"Medium Sensitivity"
24024;16;14.0;0.875;"Low Sensitivity"
38544;15;10.0;0.667;"Low Sensitivity"
37288;13;9.0;0.692;"Low Sensitivity"
31915;25;17.0;0.68;"Low Sensitivity"
43352;94;61.0;0.649;"Low Sensitivity"
21386;21;17.0;0.81;"Low Sensitivity"
8571;32;25.0;0.781;"Low Sensitivity"
33768;27;16.0;0.593;"Medium Sensitivity"
48559;14;13.0;0.929;"Low Sensitivity"
1158;21;14.0;0.667;"Low Sensitivity"
42944;6;4.0;0.667;"Low Sensitivity"
48946;6;3.0;0.5;"Medium Sensitivity"
22935;191;128.0;0.67;"Low Sensitivity"
4920;115;73.0;0.635;"Low Sensitivity"
25647;9;5.0;0.556;"Medium Sensitivity"
49156;3;1.0;0.333;"Medium Sensitivity"
29926;15;10.0;0.667;"Low Sensitivity"
47900;4;2.0;0.5;"Medium Sensitivity"
9436;2;0.0;0.0;"High Sensitivity"
12384;18;17.0;0.944;"Low Sensitivity"
15991;2;0.0;0.0;"High Sensitivity"
35887;13;7.0;0.538;"Medium Sensitivity"
49683;150;100.0;0.667;"Low Sensitivity"
28199;67;43.0;0.642;"Low Sensitivity"
5699;3;1.0;0.333;"Medium Sensitivity"
32740;9;7.0;0.778;"Low Sensitivity"
8592;2;0.0;0.0;"High Sensitivity"
1446;4;2.0;0.5;"Medium Sensitivity"
46313;5;2.0;0.4;"Medium Sensitivity"
19970;2;2.0;1.0;"Low Sensitivity"
49390;1;0.0;0.0;"High Sensitivity"
32981;5;3.0;0.6;"Low Sensitivity"
40063;16;9.0;0.563;"Medium Sensitivity"
28413;9;3.0;0.333;"Medium Sensitivity"
24532;4;2.0;0.5;"Medium Sensitivity"
14715;18;12.0;0.667;"Low Sensitivity"
16974;4;3.0;0.75;"Low Sensitivity"
37980;2;1.0;0.5;"Medium Sensitivity"
35561;27;12.0;0.444;"Medium Sensitivity"
33059;1;0.0;0.0;"High Sensitivity"
43721;3;1.0;0.333;"Medium Sensitivity"
48679;97;62.0;0.639;"Low Sensitivity"
28204;155;109.0;0.703;"Low Sensitivity"
8385;2;1.0;0.5;"Medium Sensitivity"
10070;26;22.0;0.846;"Low Sensitivity"
42450;31;22.0;0.71;"Low Sensitivity"
34866;2;2.0;1.0;"Low Sensitivity"
27344;67;45.0;0.672;"Low Sensitivity"
27355;7;3.0;0.429;"Medium Sensitivity"
19887;13;9.0;0.692;"Low Sensitivity"
33000;51;38.0;0.745;"Low Sensitivity"
20915;4;3.0;0.75;"Low Sensitivity"
21949;6;4.0;0.667;"Low Sensitivity"
8817;1;0.0;0.0;"High Sensitivity"
37867;4;1.0;0.25;"High Sensitivity"
12850;1;0.0;0.0;"High Sensitivity"
21553;9;5.0;0.556;"Medium Sensitivity"
34005;7;3.0;0.429;"Medium Sensitivity"
31509;1;1.0;1.0;"Low Sensitivity"
27979;2;1.0;0.5;"Medium Sensitivity"
20955;24;14.0;0.583;"Medium Sensitivity"
383;1;0.0;0.0;"High Sensitivity"
44384;1;1.0;1.0;"Low Sensitivity"
28012;2;0.0;0.0;"High Sensitivity"
27356;6;0.0;0.0;"High Sensitivity"
13966;12;4.0;0.333;"Medium Sensitivity"
2240;1;0.0;0.0;"High Sensitivity"
16349;35;17.0;0.486;"Medium Sensitivity"
36884;2;0.0;0.0;"High Sensitivity"
48183;8;4.0;0.5;"Medium Sensitivity"
26172;10;5.0;0.5;"Medium Sensitivity"
4778;6;4.0;0.667;"Low Sensitivity"
34519;3;2.0;0.667;"Low Sensitivity"
11983;1;1.0;1.0;"Low Sensitivity"
18346;4;3.0;0.75;"Low Sensitivity"
21067;1;1.0;1.0;"Low Sensitivity"
41602;2;2.0;1.0;"Low Sensitivity"
27656;1;1.0;1.0;"Low Sensitivity"
17417;1;1.0;1.0;"Low Sensitivity"
22282;5;1.0;0.2;"High Sensitivity"
47827;1;1.0;1.0;"Low Sensitivity"
32917;1;0.0;0.0;"High Sensitivity"
5077;94;66.0;0.702;"Low Sensitivity"
4447;3;2.0;0.667;"Low Sensitivity"
3703;1;0.0;0.0;"High Sensitivity"
34233;1;0.0;0.0;"High Sensitivity"
28921;2;0.0;0.0;"High Sensitivity"
15364;1;0.0;0.0;"High Sensitivity"
16797;241;168.0;0.697;"Low Sensitivity"
39275;156;100.0;0.641;"Low Sensitivity"
46041;10;3.0;0.3;"Medium Sensitivity"
29223;9;5.0;0.556;"Medium Sensitivity"
14129;9;4.0;0.444;"Medium Sensitivity"
22298;12;11.0;0.917;"Low Sensitivity"
17600;37;21.0;0.568;"Medium Sensitivity"
6141;4;3.0;0.75;"Low Sensitivity"
42169;2;0.0;0.0;"High Sensitivity"
12144;16;9.0;0.563;"Medium Sensitivity"
11403;1;0.0;0.0;"High Sensitivity"
36929;17;9.0;0.529;"Medium Sensitivity"
3513;1;1.0;1.0;"Low Sensitivity"
39276;13;11.0;0.846;"Low Sensitivity"
20307;1;1.0;1.0;"Low Sensitivity"
19677;33;25.0;0.758;"Low Sensitivity"
397;10;1.0;0.1;"High Sensitivity"
34993;12;3.0;0.25;"High Sensitivity"
17183;6;2.0;0.333;"Medium Sensitivity"
37788;1;0.0;0.0;"High Sensitivity"
1025;16;8.0;0.5;"Medium Sensitivity"
4799;62;38.0;0.613;"Low Sensitivity"
276;8;5.0;0.625;"Low Sensitivity"
30274;2;1.0;0.5;"Medium Sensitivity"
3594;3;3.0;1.0;"Low Sensitivity"
14994;1;0.0;0.0;"High Sensitivity"
45433;1;0.0;0.0;"High Sensitivity"
44514;11;6.0;0.545;"Medium Sensitivity"
32624;3;1.0;0.333;"Medium Sensitivity"
604;1;0.0;0.0;"High Sensitivity"
4493;5;3.0;0.6;"Low Sensitivity"
18963;14;8.0;0.571;"Medium Sensitivity"
39408;37;27.0;0.73;"Low Sensitivity"
4485;1;0.0;0.0;"High Sensitivity"
37646;118;93.0;0.788;"Low Sensitivity"
36606;10;4.0;0.4;"Medium Sensitivity"
32442;3;3.0;1.0;"Low Sensitivity"
14467;13;9.0;0.692;"Low Sensitivity"
40706;140;99.0;0.707;"Low Sensitivity"
5876;144;105.0;0.729;"Low Sensitivity"
38827;9;4.0;0.444;"Medium Sensitivity"
38647;8;3.0;0.375;"Medium Sensitivity"
34448;23;15.0;0.652;"Low Sensitivity"
46194;4;3.0;0.75;"Low Sensitivity"
10833;1;0.0;0.0;"High Sensitivity"
34004;1;0.0;0.0;"High Sensitivity"
11121;3;1.0;0.333;"Medium Sensitivity"
32971;3;0.0;0.0;"High Sensitivity"
42736;61;37.0;0.607;"Low Sensitivity"
8671;8;3.0;0.375;"Medium Sensitivity"
17872;26;18.0;0.692;"Low Sensitivity"
8251;3;2.0;0.667;"Low Sensitivity"
24385;5;3.0;0.6;"Low Sensitivity"
30391;134;99.0;0.739;"Low Sensitivity"
32734;26;13.0;0.5;"Medium Sensitivity"
11520;68;48.0;0.706;"Low Sensitivity"
18234;21;12.0;0.571;"Medium Sensitivity"
32177;16;6.0;0.375;"Medium Sensitivity"
40709;20;12.0;0.6;"Low Sensitivity"
45123;22;14.0;0.636;"Low Sensitivity"
26940;29;19.0;0.655;"Low Sensitivity"
6740;26;14.0;0.538;"Medium Sensitivity"
38315;1;0.0;0.0;"High Sensitivity"
25800;1;0.0;0.0;"High Sensitivity"
7021;31;13.0;0.419;"Medium Sensitivity"
24964;194;139.0;0.716;"Low Sensitivity"
9076;94;61.0;0.649;"Low Sensitivity"
1376;6;3.0;0.5;"Medium Sensitivity"
21910;4;3.0;0.75;"Low Sensitivity"
47231;2;1.0;0.5;"Medium Sensitivity"
43122;63;46.0;0.73;"Low Sensitivity"
19057;125;95.0;0.76;"Low Sensitivity"
48857;20;15.0;0.75;"Low Sensitivity"
23375;40;25.0;0.625;"Low Sensitivity"
2825;28;20.0;0.714;"Low Sensitivity"
26604;106;65.0;0.613;"Low Sensitivity"
32549;1;1.0;1.0;"Low Sensitivity"
46077;1;1.0;1.0;"Low Sensitivity"
12902;1;1.0;1.0;"Low Sensitivity"
9934;6;2.0;0.333;"Medium Sensitivity"
22395;20;8.0;0.4;"Medium Sensitivity"
37110;1;1.0;1.0;"Low Sensitivity"
17123;5;4.0;0.8;"Low Sensitivity"
38777;40;28.0;0.7;"Low Sensitivity"
2298;4;4.0;1.0;"Low Sensitivity"
48628;18;11.0;0.611;"Low Sensitivity"
781;21;13.0;0.619;"Low Sensitivity"
13249;9;8.0;0.889;"Low Sensitivity"
890;34;17.0;0.5;"Medium Sensitivity"
22963;44;32.0;0.727;"Low Sensitivity"
44910;36;23.0;0.639;"Low Sensitivity"
22507;8;5.0;0.625;"Low Sensitivity"
29127;19;10.0;0.526;"Medium Sensitivity"
15541;10;8.0;0.8;"Low Sensitivity"
13042;5;3.0;0.6;"Low Sensitivity"
20940;18;15.0;0.833;"Low Sensitivity"
10473;10;8.0;0.8;"Low Sensitivity"
17207;11;6.0;0.545;"Medium Sensitivity"
38928;20;16.0;0.8;"Low Sensitivity"
10017;29;21.0;0.724;"Low Sensitivity"
43394;13;12.0;0.923;"Low Sensitivity"
37766;19;11.0;0.579;"Medium Sensitivity"
26209;199;141.0;0.709;"Low Sensitivity"
20114;61;38.0;0.623;"Low Sensitivity"
25886;2;0.0;0.0;"High Sensitivity"
41674;3;1.0;0.333;"Medium Sensitivity"
24203;3;3.0;1.0;"Low Sensitivity"
34854;4;3.0;0.75;"Low Sensitivity"
34640;3;0.0;0.0;"High Sensitivity"
6046;33;25.0;0.758;"Low Sensitivity"
287;9;6.0;0.667;"Low Sensitivity"
12508;7;6.0;0.857;"Low Sensitivity"
13733;12;6.0;0.5;"Medium Sensitivity"
17889;2;2.0;1.0;"Low Sensitivity"
9292;3;3.0;1.0;"Low Sensitivity"
15424;12;11.0;0.917;"Low Sensitivity"
18988;2;1.0;0.5;"Medium Sensitivity"
38959;3;2.0;0.667;"Low Sensitivity"
19155;2;1.0;0.5;"Medium Sensitivity"
1940;30;23.0;0.767;"Low Sensitivity"
25170;6;1.0;0.167;"High Sensitivity"
3397;6;4.0;0.667;"Low Sensitivity"
21955;11;6.0;0.545;"Medium Sensitivity"
38689;51;43.0;0.843;"Low Sensitivity"
45368;14;6.0;0.429;"Medium Sensitivity"
7658;3;2.0;0.667;"Low Sensitivity"
37102;1;0.0;0.0;"High Sensitivity"
11422;29;21.0;0.724;"Low Sensitivity"
27514;2;2.0;1.0;"Low Sensitivity"
46654;24;18.0;0.75;"Low Sensitivity"
47993;11;9.0;0.818;"Low Sensitivity"
5438;9;3.0;0.333;"Medium Sensitivity"
46226;9;6.0;0.667;"Low Sensitivity"
25670;4;1.0;0.25;"High Sensitivity"
43739;5;4.0;0.8;"Low Sensitivity"
17924;2;2.0;1.0;"Low Sensitivity"
31805;11;8.0;0.727;"Low Sensitivity"
9387;66;47.0;0.712;"Low Sensitivity"
7768;1;0.0;0.0;"High Sensitivity"
1629;1;0.0;0.0;"High Sensitivity"
21288;38;22.0;0.579;"Medium Sensitivity"
43875;13;8.0;0.615;"Low Sensitivity"
47049;5;3.0;0.6;"Low Sensitivity"
8186;4;4.0;1.0;"Low Sensitivity"
42345;4;4.0;1.0;"Low Sensitivity"
28682;10;2.0;0.2;"High Sensitivity"
36342;2;1.0;0.5;"Medium Sensitivity"
12341;92;72.0;0.783;"Low Sensitivity"
11140;18;13.0;0.722;"Low Sensitivity"
23060;4;4.0;1.0;"Low Sensitivity"
11067;1;0.0;0.0;"High Sensitivity"
11481;8;6.0;0.75;"Low Sensitivity"
44008;18;13.0;0.722;"Low Sensitivity"
35824;8;6.0;0.75;"Low Sensitivity"
12023;5;0.0;0.0;"High Sensitivity"
41544;15;4.0;0.267;"High Sensitivity"
31553;42;22.0;0.524;"Medium Sensitivity"
39389;1;0.0;0.0;"High Sensitivity"
39108;11;10.0;0.909;"Low Sensitivity"
4472;23;16.0;0.696;"Low Sensitivity"
43950;1;1.0;1.0;"Low Sensitivity"
29228;2;2.0;1.0;"Low Sensitivity"
42548;2;2.0;1.0;"Low Sensitivity"
20588;3;2.0;0.667;"Low Sensitivity"
47479;4;1.0;0.25;"High Sensitivity"
38515;1;0.0;0.0;"High Sensitivity"
5514;9;5.0;0.556;"Medium Sensitivity"
24125;7;5.0;0.714;"Low Sensitivity"
11759;17;11.0;0.647;"Low Sensitivity"
11136;15;8.0;0.533;"Medium Sensitivity"
27247;9;8.0;0.889;"Low Sensitivity"
17902;10;9.0;0.9;"Low Sensitivity"
45681;15;8.0;0.533;"Medium Sensitivity"
7715;4;4.0;1.0;"Low Sensitivity"
15392;14;7.0;0.5;"Medium Sensitivity"
12456;19;13.0;0.684;"Low Sensitivity"
14540;8;5.0;0.625;"Low Sensitivity"
26369;35;22.0;0.629;"Low Sensitivity"
25138;18;11.0;0.611;"Low Sensitivity"
2361;10;7.0;0.7;"Low Sensitivity"
10915;4;2.0;0.5;"Medium Sensitivity"
21616;130;86.0;0.662;"Low Sensitivity"
24889;2;1.0;0.5;"Medium Sensitivity"
5959;13;7.0;0.538;"Medium Sensitivity"
43889;7;4.0;0.571;"Medium Sensitivity"
45646;15;3.0;0.2;"High Sensitivity"
44077;1;0.0;0.0;"High Sensitivity"
46383;2;0.0;0.0;"High Sensitivity"
25195;3;2.0;0.667;"Low Sensitivity"
31974;1;0.0;0.0;"High Sensitivity"
14159;7;4.0;0.571;"Medium Sensitivity"
33357;3;2.0;0.667;"Low Sensitivity"
38996;13;3.0;0.231;"High Sensitivity"
39844;8;5.0;0.625;"Low Sensitivity"
49510;2;1.0;0.5;"Medium Sensitivity"
36481;2;1.0;0.5;"Medium Sensitivity"
5120;9;8.0;0.889;"Low Sensitivity"
43154;33;24.0;0.727;"Low Sensitivity"
24184;100;60.0;0.6;"Low Sensitivity"
2295;39;23.0;0.59;"Medium Sensitivity"
8277;138;108.0;0.783;"Low Sensitivity"
15290;67;43.0;0.642;"Low Sensitivity"
2979;5;2.0;0.4;"Medium Sensitivity"
23233;14;9.0;0.643;"Low Sensitivity"
48057;14;8.0;0.571;"Medium Sensitivity"
31040;24;15.0;0.625;"Low Sensitivity"
38944;11;5.0;0.455;"Medium Sensitivity"
39619;26;11.0;0.423;"Medium Sensitivity"
38273;13;6.0;0.462;"Medium Sensitivity"
36550;29;18.0;0.621;"Low Sensitivity"
18079;4;0.0;0.0;"High Sensitivity"
32403;16;13.0;0.813;"Low Sensitivity"
12899;3;2.0;0.667;"Low Sensitivity"
21573;20;14.0;0.7;"Low Sensitivity"
32455;17;12.0;0.706;"Low Sensitivity"
4210;56;46.0;0.821;"Low Sensitivity"
4377;8;7.0;0.875;"Low Sensitivity"
39461;3;3.0;1.0;"Low Sensitivity"
13627;3;3.0;1.0;"Low Sensitivity"
13110;1;1.0;1.0;"Low Sensitivity"
12397;3;2.0;0.667;"Low Sensitivity"
4840;1;0.0;0.0;"High Sensitivity"
11256;2;1.0;0.5;"Medium Sensitivity"
10761;16;11.0;0.688;"Low Sensitivity"
42118;2;2.0;1.0;"Low Sensitivity"
23734;37;17.0;0.459;"Medium Sensitivity"
43014;8;6.0;0.75;"Low Sensitivity"
15040;4;4.0;1.0;"Low Sensitivity"
22867;1;1.0;1.0;"Low Sensitivity"
10385;11;4.0;0.364;"Medium Sensitivity"
39928;75;48.0;0.64;"Low Sensitivity"
46394;5;1.0;0.2;"High Sensitivity"
